date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,tse_open,tse_high,tse_low,tse_close,tse_volume,txf_open,txf_high,txf_low,txf_close,txf_volume,above_ma
2019/4/10,-207396847,-312875940,-3012,64114,-2349,2786,10839.92969,10875.65039,10815.61035,10868.13965,128774,10820,10869,10812,10861,69294,40
2019/4/11,-5313582732,-192091196,-1239,62890,-1300,1426,10869.24023,10887.12012,10797.75977,10808.76953,137764,10868,10885,10775,10806,108022,34
2019/4/12,1560258561,-312838511,216,63106,-801,625,10820.94043,10836.44043,10782.01953,10805.29981,119610,10818,10831,10782,10802,74303,32
2019/4/15,4887176695,387326206,-1652,61456,-403,214,10849.83984,10897.20996,10849.54981,10875.59961,119021,10865,10895,10843,10876,72144,31
2019/4/16,5676237019,-290310370,-872,60562,265,479,10905.62988,10927.84961,10876.33984,10927.84961,131120,10870,10932,10863,10930,78811,32
2019/4/17,9424255422,13604421,3562,62747,734,4877,10961.61035,11016.91992,10961.61035,10997.25977,167070,10954,11010,10948,11005,57677,34
2019/4/18,1917093890,-227014575,264,63011,-3949,928,11038.24023,11077.99023,10926.84961,10962.01953,169676,11022,11039,10920,10938,117374,26
2019/4/19,9340177871,-789674774,882,63893,1865,2793,11017.69043,11045.08008,10950.42969,10968.5,126870,11020,11036,10954,10973,88747,25
2019/4/22,-946434627,-294042902,-3159,60734,-1068,1725,10994.51953,11027.49023,10974.82031,10987.70996,111534,11008,11030,10958,10978,77272,24
2019/4/23,3425385385,-961035721,1523,62257,1270,2995,10994.28027,11025.67969,10949.29981,11025.67969,111251,10988,11024,10934,11023,103721,32
2019/4/24,-1240261768,280682475,-6139,56118,-3067,-107,11054.01953,11070.84961,10995.83008,11027.63965,120929,11050,11057,10970,11009,108052,33
2019/4/25,755910589,-197554868,4735,60853,4635,4528,11017.73047,11046.76953,11006.67969,11039.86035,113169,10990,11041,10977,11030,84333,35
2019/4/26,-6476339287,-678414454,-6632,54221,-7067,-2539,10986.53027,10986.53027,10906.44043,10952.46973,113792,10962,10972,10900,10934,117727,30
2019/4/29,-384336006,-1328007872,2227,56448,2838,299,10952.91016,10992.54981,10905.78027,10939.05957,119393,10959,10978,10902,10933,90054,32
2019/4/30,104700093,16586189,1306,57754,1246,1545,10945.94043,10978.09961,10910.78027,10967.73047,103656,10912,10961,10883,10952,99257,34
2019/5/2,5296485685,-42868930,-1047,56707,-663,937,10992.75977,11046.63965,10988.7002,11004.49023,101410,10947,11033,10933,10978,110440,33
2019/5/3,4151629221,670592819,4044,60751,5375,6312,11037.99023,11097,11018.86035,11096.29981,114682,10992,11094,10975,11092,105075,42
2019/5/6,-13956697549,-607779285,-10743,50008,-8866,-2554,11005.36035,11005.36035,10870.40039,10897.12012,138184,10980,10980,10821,10860,157580,21
2019/5/7,160249004,442342162,6923,56949,4110,1484,10913.9502,11004.75977,10913.9502,10987.13965,111886,10900,10996,10900,10971,112170,26
2019/5/8,-6234704409,-515787400,-1932,55017,-6585,-5041,10938.46973,10946.82031,10867.05957,10923.70996,109612,10849,10943,10841,10893,122003,25
2019/5/9,-18547223444,-286574050,-6280,48737,-5722,-10763,10910.46973,10910.46973,10732.96973,10733.66992,140811,10854,10866,10716,10747,160280,12
2019/5/10,-4021026317,-1168047701,8270,57008,4126,-6641,10751.54981,10834.69043,10669.38965,10712.99023,124807,10750,10850,10646,10744,233558,12
2019/5/13,-4072200251,-758977770,-6899,49309,-9544,-12985,10684.04004,10693.44043,10549.05957,10558.29004,113738,10686,10708,10565,10574,141353,7
2019/5/14,-9337273218,-634069036,1687,50970,-1359,-14240,10480.20996,10544.96973,10363.01953,10519.25,139631,10425,10571,10399,10531,161114,6
2019/5/15,-13639741820,435983010,-37,47150,-119,-633,10535.24023,10612.5,10535.24023,10560.70996,114123,10539,10609,10513,10580,76901,8
2019/5/16,-13759020404,242524445,2022,49172,-1211,-1844,10556.58008,10573.92969,10474.61035,10474.61035,113620,10537,10574,10483,10489,135442,5
